time,flow,temp,salt
1997-11-21,0.089,2.8786458333,0
1997-11-22,0.075,2.8927083333,0
1997-11-23,0.063,3.3677083333,0
1997-11-24,0.054,3.0473958333,0
1997-11-25,0.054,4.0515625,0
1997-11-26,0.054,4.4119791667,0
1997-11-27,0.049,4.7932291667,0
1997-11-28,0.049,5.8020833333,0
1997-11-29,0.054,6.3770833333,0
1997-11-30,0.075,6.2359375,0
1997-12-01,0.063,5.3192708333,0
1997-12-02,0.063,3.3541666667,0
1997-12-03,0.063,1.6916666667,0
1997-12-04,0.063,0.7807291667,0
1997-12-05,0.063,0.9786458333,0
1997-12-06,0.054,1.4739583333,0
1997-12-07,0.065,2.0734375,0
1997-12-08,0.075,4.1291666667,0
1997-12-09,0.075,6.259375,0
1997-12-10,0.075,8.2979166667,0
1997-12-11,0.709,9.3375,0
1997-12-12,0.704,8.9078125,0
1997-12-13,1.424,7.5385416667,0
1997-12-14,0.975,5.2260416667,0
1997-12-15,0.589,2.5,0
1997-12-16,0.361,0.6291666667,0
1997-12-17,0.244,0.1,0
1997-12-18,0.205,0.7005208333,0
1997-12-19,0.173,2.4572916667,0
1997-12-20,0.146,3.2020833333,0
1997-12-21,0.134,2.8552083333,0
1997-12-22,0.119,2.559375,0
1997-12-23,0.104,3.8151041667,0
1997-12-24,0.104,6.3166666667,0
1997-12-25,0.326,8.1322916667,0
1997-12-26,0.474,8.9802083333,0
1997-12-27,0.589,8.0078125,0
1997-12-28,0.858,6.3078125,0
1997-12-29,0.989,5.2619791667,0
1997-12-30,1.078,5.5770833333,0
1997-12-31,0.689,5.7953125,0
1998-01-01,0.474,6.5932291667,0
1998-01-02,0.295,7.38125,0
1998-01-03,0.853,7.2119791667,0
1998-01-04,1.157,7.3166666667,0
1998-01-05,0.975,6.7921875,0
1998-01-06,0.665,7.1921875,0
1998-01-07,0.436,8.003125,0
1998-01-08,0.632,8.9380208333,0
1998-01-09,0.589,9.6390625,0
1998-01-10,0.403,9.178125,0
1998-01-11,0.295,8.403125,0
1998-01-12,0.224,7.9296875,0
1998-01-13,0.188,8.0333333333,0
1998-01-14,0.173,7.5875,0
1998-01-15,0.146,7.6666666667,0
1998-01-16,0.146,6.8625,0
1998-01-17,0.146,5.6635416667,0
1998-01-18,0.132,5.4401041667,0
1998-01-19,0.173,4.2755208333,0
1998-01-20,0.278,3.13125,0
1998-01-21,0.398,2.0671875,0
1998-01-22,0.398,1.2208333333,0
1998-01-23,0.326,0.7796875,0
1998-01-24,0.268,0.4807291667,0
1998-01-25,0.205,0.1,0
1998-01-26,0.173,0.1,0
1998-01-27,0.146,0.1,0
1998-01-28,0.144,0.1,0
1998-01-29,0.132,0.1,0
1998-01-30,0.119,0.1,0
1998-01-31,0.104,0.1,0
1998-02-01,0.077,0.1,0
1998-02-02,0.117,0.1,0
1998-02-03,0.104,0.1,0
1998-02-04,0.075,0.1,0
1998-02-05,0.063,1.0567708333,0
1998-02-06,0.063,1.4057291667,0
1998-02-07,0.063,2.790625,0
1998-02-08,0.063,3.7541666667,0
1998-02-09,0.075,4.3833333333,0
1998-02-10,0.075,5.6723958333,0
1998-02-11,0.063,7.3770833333,0
1998-02-12,0.063,8.5828125,0
1998-02-13,0.075,8.9515625,0
1998-02-14,0.063,9.365625,0
1998-02-15,0.063,9.3947916667,0
1998-02-16,0.063,8.1973958333,0
1998-02-17,0.075,7.5953125,0
1998-02-18,0.075,7.0984375,0
1998-02-19,0.063,6.9041666667,0
1998-02-20,0.063,8.3833333333,0
1998-02-21,0.063,9.1125,0
